species	genus	host	accession	genome_bp	aa_pathways_retained	symbiosis_age_mya
Buchnera aphidicola str. APS (Acyrthosiphon pisum)	Buchnera	Acyrthosiphon pisum (pea aphid)	NZ_AP036055.1	641802	10	200
Buchnera aphidicola (Myzus persicae)	Buchnera	Myzus persicae (peach-potato aphid)	NZ_CP172244.1	643512	10	200
Buchnera aphidicola (Schizaphis graminum)	Buchnera	Schizaphis graminum (greenbug)	NZ_CP029205.1	641689	10	200
Buchnera aphidicola (Aphis craccivore)	Buchnera	aphid	NZ_CP043999.1	632731	10	200
Buchnera aphidicola (Aphis gossypii)	Buchnera	aphid	NZ_CP056771.1	628098	10	200
Buchnera aphidicola (Lachnus tropicalis)	Buchnera	aphid	AP043953.1	419908	10	200
Buchnera aphidicola str. Sg (Schizaphis graminum)	Buchnera	Schizaphis graminum (greenbug)	NC_004061.1	641454	10	200
Buchnera aphidicola str. W106 (Myzus persicae)	Buchnera	Myzus persicae (peach-potato aphid)	NZ_CP002699.1	643502	10	200
Buchnera aphidicola str. USDA (Myzus persicae)	Buchnera	Myzus persicae (peach-potato aphid)	NZ_CP002697.1	643504	10	200
Buchnera aphidicola str. G002 (Myzus persicae)	Buchnera	Myzus persicae (peach-potato aphid)	NZ_CP002701.1	643517	10	200
Buchnera aphidicola str. F009 (Myzus persicae)	Buchnera	Myzus persicae (peach-potato aphid)	NZ_CP002703.1	643510	10	200
Buchnera aphidicola str. LSR1 (Acyrthosiphon pisum)	Buchnera	Acyrthosiphon pisum (pea aphid)	NZ_ACFK00000000.1	642011	10	200
Buchnera aphidicola str. LSR1 (Acyrthosiphon pisum)	Buchnera	Acyrthosiphon pisum (pea aphid)	NZ_ACFK01000001.1	642011	10	200
Buchnera aphidicola (Anoecia corni)	Buchnera	aphid	NZ_OZ060371.1	550785	10	200
Buchnera aphidicola (Myzus persicae)	Buchnera	Myzus persicae (peach-potato aphid)	NZ_MJNC00000000.1	643531	10	200
Buchnera aphidicola (Myzus persicae)	Buchnera	Myzus persicae (peach-potato aphid)	NZ_MJNC01000002.1	378928	10	200
Buchnera aphidicola (Sitobion miscanthi)	Buchnera	aphid	NZ_CP084934.1	671355	10	200
Buchnera aphidicola (Hyalopterus amygdali)	Buchnera	aphid	NZ_OZ060383.1	632418	10	200
Buchnera aphidicola (Pemphigus immunis)	Buchnera	aphid	NZ_OZ060408.1	597589	10	200
Buchnera aphidicola (Mindarus abietinus)	Buchnera	aphid	NZ_OZ060398.1	540092	10	200
Buchnera aphidicola (Takecallis arundicolens)	Buchnera	aphid	NZ_OZ060369.1	434724	10	200
Buchnera aphidicola (Phyllaphis fagi)	Buchnera	aphid	NZ_OZ060370.1	431406	10	200
Buchnera aphidicola (Sipha maydis)	Buchnera	aphid	NZ_OZ060381.1	462466	10	200
Buchnera aphidicola (Pterocallis alni)	Buchnera	aphid	NZ_OZ060377.1	421682	10	200
Buchnera aphidicola (Uroleucon sonchi)	Buchnera	Uroleucon sp. (aphid)	NZ_CP047588.1	614349	10	200
Buchnera aphidicola (Protaphis terricola)	Buchnera	aphid	NZ_OZ060405.1	607166	10	200
Buchnera aphidicola (Eriosoma lanigerum)	Buchnera	aphid	NZ_OZ060395.1	626868	10	200
Buchnera aphidicola (Thelaxes suberi)	Buchnera	aphid	NZ_OZ060389.1	529515	10	200
Buchnera aphidicola (Panaphis juglandis)	Buchnera	aphid	NZ_OZ060378.1	433824	10	200
Buchnera aphidicola (Brachycaudus tragopogonis)	Buchnera	aphid	NZ_OZ060418.1	643003	10	200
Buchnera aphidicola (Chaitophorus populicola)	Buchnera	aphid	NZ_OZ060382.1	474096	10	200
Buchnera aphidicola (Drepanosiphum platanoidis)	Buchnera	aphid	NZ_OZ060412.1	448962	10	200
Buchnera aphidicola (Eriosoma grossulariae)	Buchnera	aphid	NZ_OZ060402.1	606948	10	200
Buchnera aphidicola (Neophyllaphis podocarpi)	Buchnera	aphid	NZ_OZ060386.1	559180	10	200
Buchnera aphidicola (Chaetosiphella stipae setosa)	Buchnera	aphid	NZ_OZ060394.1	462000	10	200
Buchnera aphidicola (Tetraneura ulmi)	Buchnera	aphid	NZ_OZ060366.1	530976	10	200
Buchnera aphidicola (Pemphigus populi)	Buchnera	aphid	NZ_OZ060372.1	610941	10	200
Buchnera aphidicola (Cavariella theobaldi)	Buchnera	aphid	NZ_OZ060413.1	587277	10	200
Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony)	Wigglesworthia	Glossina morsitans (tsetse fly)	NC_016893.1	719535	8	65
Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony)	Wigglesworthia	Glossina morsitans (tsetse fly)	CP003315.1	719535	8	65
Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	Wigglesworthia	Glossina brevipalpis (tsetse fly)	BA000021.3	697724	8	65
Blochmannia endosymbiont of Camponotus sp. C-003	Blochmannia	Camponotus sp. (carpenter ant)	NZ_CP097764.1	783921	7	50
Blochmannia endosymbiont of Camponotus modoc	Blochmannia	Camponotus sp. (carpenter ant)	NZ_CP097765.1	790674	7	50
Blochmannia endosymbiont of Camponotus modoc	Blochmannia	Camponotus sp. (carpenter ant)	NZ_CP097754.1	789868	7	50
Candidatus Blochmanniella camponoti	Blochmannia	carpenter ant	NZ_CP097751.1	790946	7	50
Candidatus Blochmanniella camponoti	Blochmannia	carpenter ant	NZ_CP097750.1	790899	7	50
Candidatus Blochmanniella camponoti	Blochmannia	carpenter ant	NZ_CP097749.1	791111	7	50
Blochmannia endosymbiont of Camponotus sp.	Blochmannia	Camponotus sp. (carpenter ant)	NZ_CP097755.1	780543	7	50
Blochmannia endosymbiont of Camponotus modoc	Blochmannia	Camponotus sp. (carpenter ant)	NZ_CP097758.1	790842	7	50
Blochmannia endosymbiont of Camponotus sp.	Blochmannia	Camponotus sp. (carpenter ant)	NZ_CP097759.1	790497	7	50
Blochmannia endosymbiont of Camponotus sp.	Blochmannia	Camponotus sp. (carpenter ant)	NZ_CP097761.1	789542	7	50
Blochmannia endosymbiont of Camponotus sp.	Blochmannia	Camponotus sp. (carpenter ant)	NZ_CP097757.1	780612	7	50
Blochmannia endosymbiont of Camponotus sp.	Blochmannia	Camponotus sp. (carpenter ant)	NZ_CP097760.1	789636	7	50
Blochmannia endosymbiont of Camponotus sp. C-046	Blochmannia	Camponotus sp. (carpenter ant)	NZ_CP097752.1	783790	7	50
Candidatus Blochmanniella pennsylvanica	Blochmannia	carpenter ant	NZ_CP095401.1	791499	7	50
Blochmannia endosymbiont of Colobopsis nipponica	Blochmannia	carpenter ant	NZ_CP046533.1	728116	7	50
Blochmannia endosymbiont of Camponotus nipponensis	Blochmannia	Camponotus sp. (carpenter ant)	NZ_CP046534.1	788522	7	50
Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus	Blochmannia	Camponotus sp. (carpenter ant)	NZ_CP010049.1	773940	7	50
Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri	Blochmannia	carpenter ant	NZ_CP010048.1	749321	7	50
Candidatus Blochmanniella chromaiodes str. 640	Blochmannia	carpenter ant	NC_020075.1	791219	7	50
Candidatus Blochmanniella vafra str. BVAF	Blochmannia	carpenter ant	NC_014909.2	722585	7	50
Candidatus Blochmanniella pennsylvanica str. BPEN	Blochmannia	carpenter ant	NC_007292.1	791654	7	50
Candidatus Blochmannia sp. SNP	Blochmannia	carpenter ant	NZ_CP144371.1	783877	7	50
Candidatus Blochmannia vicinus (nom. nud.)	Blochmannia	carpenter ant	NZ_CP097763.1	778501	7	50
Candidatus Blochmannia vicinus (nom. nud.)	Blochmannia	carpenter ant	NZ_CP097753.1	776475	7	50
Candidatus Blochmannia vicinus (nom. nud.)	Blochmannia	carpenter ant	NZ_CP097756.1	775982	7	50
Candidatus Blochmannia ocreatus (nom. nud.)	Blochmannia	carpenter ant	NZ_CP097762.1	746321	7	50
Candidatus Blochmannia sp. SNP	Blochmannia	carpenter ant	CP144371.1	783877	7	50
Candidatus Blochmannia vicinus (nom. nud.)	Blochmannia	carpenter ant	CP125213.1	780225	7	50
Candidatus Blochmannia vicinus (nom. nud.)	Blochmannia	carpenter ant	CP097763.1	778501	7	50
Blochmannia endosymbiont of Camponotus sp.	Blochmannia	Camponotus sp. (carpenter ant)	CP097759.1	790497	7	50
Blochmannia endosymbiont of Camponotus modoc	Blochmannia	Camponotus sp. (carpenter ant)	CP097758.1	790842	7	50
Blochmannia endosymbiont of Camponotus sp.	Blochmannia	Camponotus sp. (carpenter ant)	CP097757.1	780612	7	50
Candidatus Blochmannia vicinus (nom. nud.)	Blochmannia	carpenter ant	CP097756.1	775982	7	50
Blochmannia endosymbiont of Camponotus sp.	Blochmannia	Camponotus sp. (carpenter ant)	CP097755.1	780543	7	50
Blochmannia endosymbiont of Camponotus modoc	Blochmannia	Camponotus sp. (carpenter ant)	CP097754.1	789868	7	50
Blochmannia endosymbiont of Camponotus sp. C-046	Blochmannia	Camponotus sp. (carpenter ant)	CP097752.1	783790	7	50
Candidatus Blochmannia vicinus (nom. nud.)	Blochmannia	carpenter ant	CP097753.1	776475	7	50
Candidatus Blochmanniella camponoti	Blochmannia	carpenter ant	CP097751.1	790946	7	50
Blochmannia endosymbiont of Camponotus modoc	Blochmannia	Camponotus sp. (carpenter ant)	CP097765.1	790674	7	50
Candidatus Blochmanniella camponoti	Blochmannia	carpenter ant	CP097749.1	791111	7	50
Blochmannia endosymbiont of Camponotus sp.	Blochmannia	Camponotus sp. (carpenter ant)	CP097760.1	789636	7	50
Candidatus Blochmannia ocreatus (nom. nud.)	Blochmannia	carpenter ant	CP097762.1	746321	7	50
Candidatus Blochmanniella camponoti	Blochmannia	carpenter ant	CP097750.1	790899	7	50
Blochmannia endosymbiont of Camponotus sp.	Blochmannia	Camponotus sp. (carpenter ant)	CP097761.1	789542	7	50
Blochmannia endosymbiont of Camponotus sp. C-003	Blochmannia	Camponotus sp. (carpenter ant)	CP097764.1	783921	7	50
Candidatus Blochmanniella pennsylvanica	Blochmannia	carpenter ant	CP095401.1	791499	7	50
Blochmannia endosymbiont of Colobopsis nipponica	Blochmannia	carpenter ant	CP046533.1	728116	7	50
Blochmannia endosymbiont of Camponotus nipponensis	Blochmannia	Camponotus sp. (carpenter ant)	CP046534.1	788522	7	50
Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus	Blochmannia	Camponotus sp. (carpenter ant)	CP010049.1	773940	7	50
Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri	Blochmannia	carpenter ant	CP010048.1	749321	7	50
Candidatus Blochmanniella floridana	Blochmannia	carpenter ant	BX248583.1	705557	7	50
Candidatus Blochmanniella chromaiodes str. 640	Blochmannia	carpenter ant	CP003903.1	791219	7	50
Candidatus Blochmanniella vafra str. BVAF	Blochmannia	carpenter ant	CP002189.2	722585	7	50
Candidatus Blochmanniella pennsylvanica str. BPEN	Blochmannia	carpenter ant	CP000016.1	791654	7	50
Candidatus Carsonella ruddii	Carsonella	psyllid	CM181098.1	173127	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	CM181096.1	169116	2	150
Candidatus Carsonella ruddii (Anomoneura mori)	Carsonella	psyllid	NZ_AP031380.1	169120	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146451.1	174018	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP176402.1	174172	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP176403.1	170175	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146392.1	174021	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146389.1	174022	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146395.1	174022	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146386.1	174025	2	150
Candidatus Carsonella ruddii HC isolate Thao2000	Carsonella	psyllid	NC_018416.1	166163	2	150
Candidatus Carsonella ruddii CS isolate Thao2000	Carsonella	psyllid	NC_018415.1	162504	2	150
Candidatus Carsonella ruddii CE isolate Thao2000	Carsonella	psyllid	NC_018414.1	162589	2	150
Candidatus Carsonella ruddii PC isolate NHV	Carsonella	psyllid	NC_018418.1	159923	2	150
Candidatus Carsonella ruddii HT isolate Thao2000	Carsonella	psyllid	NC_018417.1	157543	2	150
Candidatus Carsonella ruddii PV	Carsonella	psyllid	NC_008512.1	159662	2	150
Candidatus Carsonella ruddii DC	Carsonella	psyllid	NC_021894.1	174014	2	150
Candidatus Carsonella ruddii (Diaphorina cf. continua)	Carsonella	psyllid	NZ_AP023214.1	173853	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP024798.1	174004	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP197249.1	173994	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP197248.1	174020	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP197254.1	166875	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP197250.1	168997	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP197252.1	172068	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP197251.1	168969	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP197253.1	165724	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	CP197254.1	166875	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	CP197253.1	165724	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	CP197252.1	172068	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	CP197251.1	168969	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	CP197250.1	168997	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	CP197249.1	173994	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	CP197248.1	174020	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP019943.1	173802	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP012411.1	174018	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP092148.1	169046	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP092146.1	169056	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP092145.1	169051	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP092147.1	169064	2	150
Candidatus Carsonella ruddii DC	Carsonella	psyllid	NZ_AP036056.1	173958	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP041245.1	174118	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	CP181096.1	169055	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	CP181166.1	167918	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	CP146451.1	174018	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	CP176403.1	170175	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	CP176402.1	174172	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146427.1	174016	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146433.1	174022	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146442.1	174019	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146478.1	174018	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146421.1	174017	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146404.1	174021	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146469.1	174018	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146418.1	174018	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146407.1	174021	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146415.1	174016	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146463.1	174013	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146475.1	174020	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP146412.1	174019	2	150
Candidatus Carsonella ruddii	Carsonella	psyllid	NZ_CP147429.1	174020	2	150
