species	genus	accession	plastome_length_bp	parasitism_category	parasitism_score
Aeginetia indica	Aeginetia	MN529629	86212	4_extreme_holoparasite	4
Aeginetia sinensis	Aeginetia	NC_086658	86073	4_extreme_holoparasite	4
Agalinis auriculata	Agalinis	X64570	71	1_hemiparasite	1
Agalinis fasciculata	Agalinis	PZ319439	144732	1_hemiparasite	1
Aphyllon californicum	Aphyllon	HG515539	123739	1_hemiparasite	1
Aphyllon epigalium subsp. epigalium	Aphyllon	MH050785	103216	1_hemiparasite	1
Aphyllon epigalium subsp. notocalifornicum	Aphyllon	MH050786	103932	1_hemiparasite	1
Aphyllon fasciculatum	Aphyllon	MH499249	107663	1_hemiparasite	1
Aphyllon uniflorum var. occidentale	Aphyllon	MH499250	106661	1_hemiparasite	1
Aphyllon uniflorum var. uniflorum	Aphyllon	MH580290	104640	1_hemiparasite	1
Bartsia alpina	Bartsia	PP328778	153329	1_hemiparasite	1
Brandisia cauliflora	Brandisia	OP242181	154714	0_autotroph	0
Brandisia chevalieri	Brandisia	NC_077467	155069	0_autotroph	0
Brandisia discolor	Brandisia	NC_077468	155232	0_autotroph	0
Brandisia glabrescens	Brandisia	OP262715	155336	0_autotroph	0
Brandisia hancei	Brandisia	OP262720	155343	0_autotroph	0
Brandisia hancei x Brandisia discolor	Brandisia	NC_077474	155232	0_autotroph	0
Brandisia kwangsiensis	Brandisia	OP262734	159469	0_autotroph	0
Brandisia racemosa	Brandisia	OP262738	154833	0_autotroph	0
Brandisia rosea var. flava	Brandisia	OP262741	155119	0_autotroph	0
Brandisia scandens	Brandisia	NC_077473	155086	0_autotroph	0
Brandisia swinglei	Brandisia	OP262748	155391	0_autotroph	0
Castilleja indivisa	Castilleja	OK469601	515	1_hemiparasite	1
Castilleja paramensis	Castilleja	NC_031805	152926	1_hemiparasite	1
Centranthera grandiflora	Centranthera	NC_059747	147655	1_hemiparasite	1
Cistanche deserticola	Cistanche	NC_021111	102657	3_holoparasite	3
Cistanche phelypaea	Cistanche	NC_025642	94380	3_holoparasite	3
Conopholis americana	Conopholis	NC_023131	45673	3_holoparasite	3
Cymbaria daurica	Cymbaria	NC_064104	151545	1_hemiparasite	1
Cymbaria mongolica	Cymbaria	NC_064388	149431	1_hemiparasite	1
Diphelypaea coccinea	Diphelypaea	NC_043877	66616	1_hemiparasite	1
Epifagus virginiana	Epifagus	NC_001568	70028	3_holoparasite	3
Euphrasia christii	Euphrasia	PZ094977	144811	1_hemiparasite	1
Euphrasia cisalpina	Euphrasia	PZ095197	144811	1_hemiparasite	1
Euphrasia hirtella	Euphrasia	PZ095195	144829	1_hemiparasite	1
Euphrasia kerneri	Euphrasia	PZ095198	122518	1_hemiparasite	1
Euphrasia minima	Euphrasia	PZ095194	144812	1_hemiparasite	1
Euphrasia officinalis subsp. pratensis	Euphrasia	PP335070	144849	1_hemiparasite	1
Euphrasia picta	Euphrasia	PZ095196	118190	1_hemiparasite	1
Euphrasia regelii	Euphrasia	NC_045041	153026	1_hemiparasite	1
Euphrasia salisburgensis	Euphrasia	PZ095193	144735	1_hemiparasite	1
Gleadovia mupinensis	Gleadovia	NC_086656	114774	4_extreme_holoparasite	4
Lamourouxia sp. UCB	Lamourouxia	X64571	71	1_hemiparasite	1
Lathraea japonica	Lathraea	NC_086659	143840	2_obligate_hemiparasite	2
Lathraea squamaria	Lathraea	NC_027838	150504	2_obligate_hemiparasite	2
Lindenbergia indica	Lindenbergia	NC_080204	154284	0_autotroph	0
Lindenbergia philippensis	Lindenbergia	NC_022859	155103	0_autotroph	0
Melampyrum cristatum	Melampyrum	PP484617	144004	1_hemiparasite	1
Melampyrum koreanum	Melampyrum	NC_057523	143865	1_hemiparasite	1
Melampyrum laxum	Melampyrum	NC_086660	143906	1_hemiparasite	1
Melampyrum pratense	Melampyrum	PP484618	143163	1_hemiparasite	1
Melampyrum roseum	Melampyrum	NC_053791	143896	1_hemiparasite	1
Melampyrum roseum var. japonicum	Melampyrum	OL999303	143580	1_hemiparasite	1
Melampyrum roseum var. ovalifolium	Melampyrum	OL999304	143551	1_hemiparasite	1
Melampyrum setaceum	Melampyrum	NC_068006	143584	1_hemiparasite	1
Melampyrum setaceum var. nakaianum	Melampyrum	OL999306	143512	1_hemiparasite	1
Melampyrum sylvaticum	Melampyrum	PP484619	143891	1_hemiparasite	1
Monochasma savatieri	Monochasma	PV415187	164474	1_hemiparasite	1
Orobanche austrohispanica	Orobanche	NC_031441	81994	3_holoparasite	3
Orobanche boninsimae	Orobanche	PP066984	91288	3_holoparasite	3
Orobanche cernua var. cumana	Orobanche	KT387722	89851	3_holoparasite	3
Orobanche coerulescens	Orobanche	PP066997	90039	3_holoparasite	3
Orobanche coerulescens f. albiflora	Orobanche	PP066998	89611	3_holoparasite	3
Orobanche crenata	Orobanche	NC_024845	87529	3_holoparasite	3
Orobanche densiflora	Orobanche	NC_031442	83024	3_holoparasite	3
Orobanche gracilis	Orobanche	NC_023464	65533	3_holoparasite	3
Orobanche latisquama	Orobanche	NC_025641	80361	3_holoparasite	3
Orobanche pancicii	Orobanche	NC_031443	88525	3_holoparasite	3
